2020-03-04,39.400002,39.779999,38.599998,39.529999,39.529999,460223,79
2020-03-05,39.82,40.240002,38.549999,38.599998,38.599998,600757,80
2020-03-06,37.880001,37.939999,36.549999,37.700001,37.700001,794417,81
2020-03-09,34.68,37.360001,34.150002,36.869999,36.869999,1006940,82
2020-03-10,37.23,38.650002,36.540001,36.860001,36.860001,905634,83
2020-03-11,37.049999,37.52,35.049999,35.049999,35.049999,948156,84
2020-03-12,32.900002,33.5,31.559999,31.85,31.85,1283356,85
2020-03-13,32.48,35.34,31.65,32.09,32.09,1102308,86
2020-03-16,31.889999,32.16,28.73,31.57,31.57,979121,87
2020-03-17,32.759998,33.259998,30.129999,32.650002,32.650002,766495,88
2020-03-18,31.879999,32.84,30.18,30.219999,30.219999,1081619,89
2020-03-19,29.93,30.73,27.33,30.360001,30.360001,1035324,90
2020-03-20,31.379999,31.98,30.52,31.1,31.1,1186559,91
2020-03-23,29.82,30.459999,27.799999,29.5,29.5,934172,92
2020-03-24,31.27,33.169998,30.889999,33.169998,33.169998,883595,93
2020-03-25,34.599998,35.669998,33,35.669998,35.669998,752581,94
2020-03-26,35,36.98,34.599998,36.240002,36.240002,624244,95
2020-03-27,35.889999,36.02,33.07,33.82,33.82,486907,96
2020-03-30,33.939999,34.09,32.689999,33.02,33.02,408506,97
2020-03-31,33,35.080002,32,34.990002,34.990002,846264,98
2020-04-01,34.650002,34.740002,33.310001,34.16,34.16,406766,99
2020-04-02,34.490002,35.07,33.529999,34.310001,34.310001,450304,100
2020-04-03,34.049999,34.5,33.759998,34.07,34.07,231380,101
2020-04-06,35.060001,37.700001,34.900002,37.66,37.66,484852,102
2020-04-07,38.549999,39.75,37.700001,38.23,38.23,662603,103
